Time,Amount,Actual_Fraud,Isolation_Forest_Prediction,Random_Forest_Prediction,Fraud_Status
160760.0,23.0,0,0,0,Legitimate
19847.0,11.85,0,0,0,Legitimate
88326.0,76.07,0,1,0,Legitimate
141734.0,0.99,0,0,0,Legitimate
38741.0,1.5,0,0,0,Legitimate
151934.0,8.99,0,0,0,Legitimate
159122.0,52.0,0,0,0,Legitimate
41656.0,3.59,0,0,0,Legitimate
52202.0,27.92,0,0,0,Legitimate
52081.0,95.25,0,0,0,Legitimate
59813.0,1222.48,0,1,0,Legitimate
22644.0,301.82,0,0,0,Legitimate
59096.0,56.18,0,0,0,Legitimate
129876.0,4.56,0,0,0,Legitimate
63669.0,1.79,0,0,0,Legitimate
154047.0,1.98,0,0,0,Legitimate
48673.0,264.0,0,0,0,Legitimate
11137.0,4.0,0,0,0,Legitimate
75062.0,69.0,0,0,0,Legitimate
143803.0,1.0,0,0,0,Legitimate
40261.0,187.45,0,0,0,Legitimate
156919.0,70.0,0,0,0,Legitimate
87886.0,11.5,0,0,0,Legitimate
62688.0,0.89,0,0,0,Legitimate
71082.0,15.0,0,0,0,Legitimate
43883.0,0.89,0,0,0,Legitimate
87767.0,1.0,0,0,0,Legitimate
153823.0,11.99,0,0,0,Legitimate
159093.0,68.78,0,0,0,Legitimate
13334.0,25.0,0,0,0,Legitimate
127853.0,1.0,0,0,0,Legitimate
36979.0,1.5,0,0,0,Legitimate
40601.0,10.0,0,0,0,Legitimate
125270.0,0.99,0,0,0,Legitimate
159821.0,5.2,0,0,0,Legitimate
113145.0,52.88,0,0,0,Legitimate
168519.0,93.39,0,0,0,Legitimate
134474.0,57.1,0,0,0,Legitimate
74306.0,42.87,0,0,0,Legitimate
78229.0,13.32,0,0,0,Legitimate
44275.0,61.18,0,0,0,Legitimate
52083.0,29.68,0,0,0,Legitimate
117491.0,1.78,0,0,0,Legitimate
154884.0,20.13,0,0,0,Legitimate
132613.0,129.0,0,0,0,Legitimate
146303.0,3.7,0,0,0,Legitimate
124963.0,14.75,0,0,0,Legitimate
127594.0,151.29,0,0,0,Legitimate
126814.0,29.9,0,0,0,Legitimate
143104.0,598.75,0,1,0,Legitimate
31992.0,41.59,0,0,0,Legitimate
68479.0,130.0,0,0,0,Legitimate
48611.0,50.0,0,0,0,Legitimate
110653.0,191.78,0,0,0,Legitimate
75443.0,80.22,0,0,0,Legitimate
133934.0,50.0,0,0,0,Legitimate
64988.0,13.74,0,1,0,Legitimate
148677.0,1.0,0,0,0,Legitimate
54119.0,1352.14,0,0,0,Legitimate
138450.0,33.0,0,0,0,Legitimate
105358.0,2.12,0,0,0,Legitimate
79951.0,43.03,0,0,0,Legitimate
85774.0,2.99,0,0,0,Legitimate
35767.0,227.44,0,0,0,Legitimate
105911.0,57.6,0,0,0,Legitimate
31389.0,332.35,0,0,0,Legitimate
111930.0,438.4,0,0,0,Legitimate
166842.0,1.5,0,0,0,Legitimate
35073.0,22.08,0,0,0,Legitimate
149457.0,8.99,0,0,0,Legitimate
97398.0,15.95,0,0,0,Legitimate
153797.0,105.5,0,0,0,Legitimate
7360.0,500.0,0,0,0,Legitimate
59764.0,7.58,0,0,0,Legitimate
38257.0,28.75,0,0,0,Legitimate
78204.0,1.0,0,0,0,Legitimate
169913.0,9.99,0,0,0,Legitimate
156110.0,5.38,0,0,0,Legitimate
133853.0,22.7,0,0,0,Legitimate
42256.0,814.8,0,0,0,Legitimate
146219.0,113.49,0,0,0,Legitimate
59810.0,4.99,0,0,0,Legitimate
114987.0,0.76,0,0,0,Legitimate
157881.0,5.41,0,0,0,Legitimate
55633.0,48.96,0,0,0,Legitimate
64179.0,50.9,0,0,0,Legitimate
165555.0,17.24,0,0,0,Legitimate
130060.0,43.0,0,0,0,Legitimate
71619.0,10.77,0,0,0,Legitimate
56569.0,75.0,0,0,0,Legitimate
62696.0,9.9,0,0,0,Legitimate
53143.0,438.5,0,0,0,Legitimate
54706.0,182.6,0,0,0,Legitimate
61160.0,1.98,0,0,0,Legitimate
72747.0,2.58,0,0,0,Legitimate
153885.0,14.99,0,0,0,Legitimate
95491.0,0.89,0,0,0,Legitimate
60090.0,149.57,0,0,0,Legitimate
162903.0,25.89,0,0,0,Legitimate
58793.0,164.37,0,0,0,Legitimate
144113.0,124.0,0,0,0,Legitimate
55574.0,14.9,0,0,0,Legitimate
115167.0,64.0,0,0,0,Legitimate
120052.0,37.81,0,0,0,Legitimate
141457.0,24.99,0,0,0,Legitimate
142520.0,4.49,0,0,0,Legitimate
162111.0,103.5,0,0,0,Legitimate
127259.0,72.9,0,0,0,Legitimate
152279.0,27.51,0,0,0,Legitimate
76673.0,630.54,0,0,0,Legitimate
48507.0,60.0,0,0,0,Legitimate
134179.0,89.95,0,0,0,Legitimate
